"Scenario_EpCon_ID_Resp","generated response","group"
"scenario 11_knowledge_241_1","Go get the police officer",""
"scenario 11_knowledge_244_1","Annie may leave the bench with Maria and seek out the officer's help.",""
"scenario 11_knowledge_250_1","Annie could tell Maria to wait for her Dad to ask him ",""
"scenario 11_knowledge_252_1","Engage with the man",""
"scenario 11_knowledge_259_1","Tell the man to go away",""
"scenario 11_knowledge_263_1","alert the officer",""
"scenario 11_knowledge_264_1","tell the man to leave",""
"scenario 11_knowledge_266_1","Stay with Maria: Annie should remain with Maria and ensure that she doesn't leave with the stranger who approached them.",""
"scenario 11_knowledge_268_1","scream to the cop or anyone",""
"scenario 11_knowledge_278_1","take the kid and talk to the police",""
"scenario 11_knowledge_281_1","Get the cops on the phone.",""
"scenario 11_knowledge_297_1","Annie can simply say to the man offering candy, ""No, and her dad's on his way right back.""",""
"scenario 11_knowledge_298_1","Hail the police officer",""
"scenario 11_knowledge_303_1","Go and find the cop",""
"scenario 11_knowledge_313_1","She could loudly call for help attracting attention to the situation",""
"scenario 11_knowledge_314_1","Tell Maria she needs to wait for dad ",""
"scenario 11_knowledge_330_1","she could tell the man to go away",""
"scenario 11_knowledge_334_1","Annie could tell the girl no way",""
"scenario 11_knowledge_336_1","Grab the little girl's hand and get up and start walking away from the man.",""
"scenario 11_knowledge_344_1","Tell the man to get lost. ",""
"scenario 11_knowledge_352_1","tell the creep to buzz off",""
"scenario 11_knowledge_355_1","Tell the stranger that you are not comfortable with him talking to the child and wait with her until her father returns.",""
"scenario 11_knowledge_357_1","She could scream for help",""
"scenario 11_knowledge_368_1","she could yell at the man to leave",""
"scenario 11_knowledge_369_1","Tell the man to go away.",""
"scenario 11_knowledge_384_1","call police",""
"scenario 11_knowledge_388_1","Ask the man to leave",""
"scenario 11_knowledge_389_1","Tell the man to stop talking to Maria and to leave them alone",""
"scenario 11_knowledge_396_1","Take Maria to the police.",""
"scenario 11_knowledge_401_1","Tell the man to leave her alone.",""
"scenario 11_knowledge_405_1","tell the man Maria needs to wait for her father",""
"scenario 11_knowledge_406_1","Distract the Stranger",""
"scenario 11_knowledge_407_1","Tell the man no thank you and shoo him away",""
"scenario 11_knowledge_408_1","Interrupt the mans advances, grab Marias hand and pull out her phone.",""
"scenario 11_knowledge_409_1","Tell the man no, and take Maria with her to go notify the police officer.",""
"scenario 11_knowledge_411_1","Anne could sharply reprimand the man and tell him to leave. ",""
"scenario 11_knowledge_412_1","tell the man no",""
"scenario 11_knowledge_413_1","Say no to watching the girl she doesn't even know",""
"scenario 11_knowledge_414_1","Annie could firmly tell the man that Maria is under her care and that they are not interested in the offer.",""
"scenario 11_knowledge_415_1","she could wait for Marias father to come back",""
"scenario 11_ignorance_1_1","tell the man to go away",""
"scenario 11_ignorance_3_1","Explain to Maria that you don't interact with strangers unless your parents are ok with it",""
"scenario 11_ignorance_14_1","Write down what happened",""
"scenario 11_ignorance_15_1","refuse to allow her to leave",""
"scenario 11_ignorance_18_1","Annie could take Maria into the womens restroom and wait for her father to finish",""
"scenario 11_ignorance_20_1","Tell the man to go away",""
"scenario 11_ignorance_24_1","She could take Maria closer to the restroom away from the man",""
"scenario 11_ignorance_25_1","Take hold of Maria so the man can't snatch her",""
"scenario 11_ignorance_28_1","She could not allow Maria to leave with that man thats not her father",""
"scenario 11_ignorance_29_1","nice",""
"scenario 11_ignorance_35_1","Tell her she has to wait for her dad to come back",""
"scenario 11_ignorance_38_1","Tell the man to leave right now or she'll scream for the cops.",""
"scenario 11_ignorance_40_1","say no he wont watch girl ",""
"scenario 11_ignorance_42_1","ask the man who he is",""
"scenario 11_ignorance_49_1","Tell the man to take his daughter into the bathroom with him.",""
"scenario 11_ignorance_53_1","Call the police and report the man.",""
"scenario 11_ignorance_62_1","take Maria by the hand into the men's restroom and inform the father",""
"scenario 11_ignorance_65_1","yell at the man to get away",""
"scenario 11_ignorance_66_1","Say no, that Maria can't go without her father's permission. ",""
"scenario 11_ignorance_69_1","tell the man no/go away",""
"scenario 11_ignorance_74_1","Scream for help",""
"scenario 11_ignorance_76_1","KEEP MARIA WITH HER",""
"scenario 11_ignorance_86_1","stop maria",""
"scenario 11_ignorance_93_1","Tell the man to leave",""
"scenario 11_ignorance_94_1","don't allow the girl to go",""
"scenario 11_ignorance_96_1","Tell the girl not to go with the man",""
"scenario 11_ignorance_100_1","Firmly tell the man that Maria cannot go with him",""
"scenario 11_ignorance_102_1","tell Maria no",""
"scenario 11_ignorance_106_1","tell the man to leave",""
"scenario 11_ignorance_108_1","take the kid to the restroom where her father is",""
"scenario 11_ignorance_111_1","get up with girl and go over to restrooms",""
"scenario 11_ignorance_131_1","Tell Maria not to go with the man",""
"scenario 11_ignorance_135_1","call 911",""
"scenario 11_ignorance_138_1","tell man no",""
"scenario 11_ignorance_145_1","tell the man to leave",""
"scenario 11_ignorance_147_1","Tell the man no that Maria is staying with her.",""
"scenario 11_ignorance_156_1","Engage the Man",""
"scenario 11_ignorance_161_1","Suggest the child go see her dad",""
"scenario 11_ignorance_166_1","Tell the man the father will be back any second",""
"scenario 11_ignorance_170_1","Annie could tell maria no",""
"scenario 11_ignorance_179_1","Look around for a cop",""
"scenario 11_ignorance_191_1","Ask the second man to leave.",""
"scenario 11_ignorance_200_1","Say no to the man",""
"scenario 11_ignorance_201_1","Scream",""
"scenario 11_ignorance_209_1","Annie could strongly tell the man that Maria may not go with him and then call the police about the man once he has left.",""
"scenario 11_ignorance_210_1","Tell the man to leave",""
"scenario 11_ignorance_211_1","Tell Maria that she cannot go with the man.",""
"scenario 11_ignorance_218_1","Annie can tell the man to take off, before she calls the police on him",""
"scenario 11_ignorance_219_1","quickly call the girl's father",""
"scenario 11_ignorance_225_1","Annie could grab Marias hand and start walking near the restroom ",""
"scenario 11_ignorance_226_1","Remain calm and act quickly",""
"scenario 11_ignorance_228_1","Escort Maria to a Safe Place",""
"scenario 11_ignorance_234_1","Annie can shout for the officer to help.",""
"scenario 11_ignorance_236_1","Annie should intervene immediately and firmly tell the man that Maria cannot go with him and that she needs to stay with her.",""
"scenario 11_ignorance_238_1","She could pretend she heard her phone ring and that she has plans to meet up with a friend right then so she needs to leave with Maria",""
"scenario 11_ignorance_243_1","Annie tells the girl not to go with the stranger",""
"scenario 11_ignorance_246_1","run away with the child",""
"scenario 11_ignorance_247_1","Tell the man to leave the child alone",""
"scenario 11_ignorance_251_1","tell the man to immediately go away",""
"scenario 11_ignorance_253_1","Raise her voice and make a scene to scare away the man",""
"scenario 11_ignorance_260_1","Offer to go with them",""
"scenario 11_ignorance_269_1","take the girl to her father",""
"scenario 11_ignorance_271_1","yell",""
"scenario 11_ignorance_272_1","tell the man that she's not comfortable with him talking to Maria",""
"scenario 11_ignorance_279_1","Firmly Tell the Man That Maria Cannot Go With Him",""
"scenario 11_ignorance_280_1","Call the police ",""
"scenario 11_ignorance_283_1","Annie could tell the man to go away.",""
"scenario 11_ignorance_284_1","She could tell the man to step away from the child",""
"scenario 11_ignorance_291_1","She could start yelling and screaming to draw attention to themselves, hoping the man would get spooked and leave",""
"scenario 11_ignorance_292_1","Grab Maria's hand and keep her from leaving",""
"scenario 11_ignorance_301_1","STERNLY/Forecefully tell the man to leave or yell at him to leave",""
"scenario 11_ignorance_304_1","Tell Maria not to go ",""
"scenario 11_ignorance_305_1","Annie could shout for help",""
"scenario 11_ignorance_306_1","tell the stranger that maria is hanging out with her",""
"scenario 11_ignorance_309_1","tell the man to go away",""
"scenario 11_ignorance_315_1","Annie can take Maria by the hand and move away from the man.",""
"scenario 11_ignorance_316_1","Yell at the man",""
"scenario 11_ignorance_317_1","Tell the man to go away",""
"scenario 11_ignorance_321_1","Tell Annie to wait until her dad gets back",""
"scenario 11_ignorance_323_1","Refuse to let Mana go with the man",""
"scenario 11_ignorance_328_1","Call the police",""
"scenario 11_ignorance_338_1","Tell the man to go away",""
"scenario 11_ignorance_339_1","Call 911",""
"scenario 11_ignorance_340_1","Tell the man to go away.",""
"scenario 11_ignorance_343_1","tell the man to go away",""
"scenario 11_ignorance_346_1","Tell Maria to stay at the bench",""
"scenario 11_ignorance_350_1","Grab Maria's hand and hold her there",""
"scenario 11_ignorance_351_1","pick the child up and go to the door of the restroom and call the father ",""
"scenario 11_ignorance_372_1","Tell the man to leave the child alone",""
"scenario 11_ignorance_377_1","Threaten the man that you'll call the police",""
"scenario 11_ignorance_379_1","Call the police",""
"scenario 11_ignorance_385_1","tell the man to go away",""
"scenario 11_ignorance_402_1","Tell Maria no and that it's dangerous.",""
"scenario 11_ignorance_410_1","Call a police officer",""
"scenario 11_ignorance_418_1","Interject and ask the man to leave. ",""
"scenario 12_knowledge_2_1","Create a confined place for the dog to use",""
"scenario 12_knowledge_3_1","Search his house to see if the key was left there.",""
"scenario 12_knowledge_11_1","go back and get the key quickly",""
"scenario 12_knowledge_13_1","Go home for the key.",""
"scenario 12_knowledge_20_1","Go home and get the key",""
"scenario 12_knowledge_23_1","Break a window",""
"scenario 12_knowledge_29_1"," friends",""
"scenario 12_knowledge_31_1","Tony could check obvious places the spare key could be like under the doormat.",""
"scenario 12_knowledge_33_1","Call the owner and ask if someone else has the key",""
"scenario 12_knowledge_43_1","Look for the spare key.",""
"scenario 12_knowledge_47_1","call neighbor",""
"scenario 12_knowledge_51_1","Go home and look for the key.",""
"scenario 12_knowledge_54_1","Call the neighbors",""
"scenario 12_knowledge_77_1","look for spare key",""
"scenario 12_knowledge_84_1","Call the neighbors to ask where the spare key is.",""
"scenario 12_knowledge_95_1","call the neighbors about the spare key",""
"scenario 12_knowledge_100_1","Check nearby areas for a hidden spare key",""
"scenario 12_knowledge_101_1","call the family to tell him where the spare key is",""
"scenario 12_knowledge_102_1","look for spare key",""
"scenario 12_knowledge_110_1","Let the dog use the bathroom in the house",""
"scenario 12_knowledge_111_1","look for key under mat ",""
"scenario 12_knowledge_112_1","Call the owner to find where the spare key is.",""
"scenario 12_knowledge_116_1","Look for spare key.",""
"scenario 12_knowledge_121_1","Call his neighbors",""
"scenario 12_knowledge_130_1","Break a window to get in",""
"scenario 12_knowledge_136_1","find the key they gave him",""
"scenario 12_knowledge_137_1","Leave to return later.",""
"scenario 12_knowledge_143_1","Go back home and get the key.",""
"scenario 12_knowledge_144_1","break door open",""
"scenario 12_knowledge_156_1","Check for Hidden Key",""
"scenario 12_knowledge_157_1","Look for the key. ",""
"scenario 12_knowledge_170_1","Backtrack and look for the key",""
"scenario 12_knowledge_171_1","Look for the spare key",""
"scenario 12_knowledge_172_1","dog",""
"scenario 12_knowledge_173_1","Find a place for the dog ",""
"scenario 12_knowledge_175_1","Find the key even if it means going back home!",""
"scenario 12_knowledge_176_1","call and ask about the spare saying your key is at home",""
"scenario 12_knowledge_183_1","call the neighbor",""
"scenario 12_knowledge_186_1","Call the family",""
"scenario 12_knowledge_187_1","Tony could look around for the spare key",""
"scenario 12_knowledge_190_1","Break down the door and get dog.",""
"scenario 12_knowledge_191_1","Try to phone his neighbors.",""
"scenario 12_knowledge_193_1","find a way in the house",""
"scenario 12_knowledge_194_1","Call the neighbor for the spare key location",""
"scenario 12_knowledge_195_1","Tony could call his neighbors and ask where the spare key is.",""
"scenario 12_knowledge_201_1","Call them",""
"scenario 12_knowledge_202_1","go back home and look for his key",""
"scenario 12_knowledge_210_1","Look for the spare key",""
"scenario 12_knowledge_216_1","Tony could try contacting his neighbors to see if they can provide him with the location of the spare key or if they have any other suggestions for accessing the house.",""
"scenario 12_knowledge_218_1","Tony can try contacting the neighbors, by phone, or message, and ask where the spare key is.",""
"scenario 12_knowledge_221_1","Go home and look for the key.",""
"scenario 12_knowledge_226_1","Search for a spare key",""
"scenario 12_knowledge_229_1","Call the family and ask where the spare key is",""
"scenario 12_knowledge_231_1","look for the key",""
"scenario 12_knowledge_239_1","Call dog owner",""
"scenario 12_knowledge_245_1","Contact Neighbors",""
"scenario 12_knowledge_247_1","Search for the spare key",""
"scenario 12_knowledge_253_1","Look outside for a key, eg, under the doormat",""
"scenario 12_knowledge_254_1","call them to find spare key",""
"scenario 12_knowledge_260_1","Start looking in typical places for the key",""
"scenario 12_knowledge_263_1","go back home for the key",""
"scenario 12_knowledge_276_1"," Tony could try calling or messaging his neighbors to see if they remember where they keep the spare key.",""
"scenario 12_knowledge_282_1","he should look upper the floor mat",""
"scenario 12_knowledge_283_1","He could search for they key.",""
"scenario 12_knowledge_293_1","Call the family to ask for the location of the spare key.",""
"scenario 12_knowledge_294_1","call your neighbors and ask for the other key",""
"scenario 12_knowledge_295_1","See if the door is open ",""
"scenario 12_knowledge_300_1","call the neighbors and ask where the spsre key is",""
"scenario 12_knowledge_306_1","check under the welcome mat for the spare",""
"scenario 12_knowledge_307_1","Ask the owner where the spare key is.",""
"scenario 12_knowledge_310_1","Tony could attempt to contact a locksmith to seek assistance in gaining entry to the house.",""
"scenario 12_knowledge_311_1","Call the family and tell them he lost the key.",""
"scenario 12_knowledge_313_1","Tony could check other common hiding spots for spare keys",""
"scenario 12_knowledge_314_1","Call the family to ask for the key location",""
"scenario 12_knowledge_318_1","Tony could call and ask the family.",""
"scenario 12_knowledge_325_1","He could try to call the neighbor to explain the situation and ask about the spare key",""
"scenario 12_knowledge_326_1","contact the family and ask where the spare is",""
"scenario 12_knowledge_335_1","Tony could do nothing and leave",""
"scenario 12_knowledge_348_1","Look for the spare hidden around the house.",""
"scenario 12_knowledge_358_1","go get the key",""
"scenario 12_knowledge_360_1","call the neighbors and find out where the key is",""
"scenario 12_knowledge_361_1","Look around for the key",""
"scenario 12_knowledge_363_1","break into the house",""
"scenario 12_knowledge_365_1","Call the neighbors on vacation and ask if there is another key available",""
"scenario 12_knowledge_366_1","Check for the spare key",""
"scenario 12_knowledge_369_1","Break a window to gain entry.",""
"scenario 12_knowledge_370_1","Text the family for the location to the spare key",""
"scenario 12_knowledge_371_1","Call and see where they left the other key",""
"scenario 12_knowledge_373_1","Look for another key under the mat.",""
"scenario 12_knowledge_374_1","Contact the neighbors",""
"scenario 12_knowledge_376_1","call his neighbors and ask where the spare key is",""
"scenario 12_knowledge_378_1","look for the spare key",""
"scenario 12_knowledge_379_1","call and ask where the spare key is",""
"scenario 12_knowledge_383_1","look for the key",""
"scenario 12_knowledge_394_1","Check Common Hiding Spots",""
"scenario 12_knowledge_401_1","Check to see if the spare key is somewhere close by.",""
"scenario 12_knowledge_410_1","Call the family and ask for the spare whereabouts",""
"scenario 12_knowledge_417_1","go back and get the key",""
"scenario 12_knowledge_418_1","Call the family and ask where their spare key is ",""
"scenario 12_ignorance_7_1","Call the family and ask for the spare key location",""
"scenario 12_ignorance_8_1","Emergency Services or professional help Emergency Services",""
"scenario 12_ignorance_9_1","look around for a key placement at the door",""
"scenario 12_ignorance_10_1","Go back and get the key",""
"scenario 12_ignorance_14_1","Look under the matt",""
"scenario 12_ignorance_19_1","Look for Hidden Spare Keys",""
"scenario 12_ignorance_21_1","would communicate with the neighbors",""
"scenario 12_ignorance_28_1","He could call the neighbors",""
"scenario 12_ignorance_39_1","ask neighbors about key",""
"scenario 12_ignorance_40_1","nothing ",""
"scenario 12_ignorance_44_1","Call the neighbors and let them know the situation",""
"scenario 12_ignorance_45_1","Search the back yard",""
"scenario 12_ignorance_48_1","check his pockets again",""
"scenario 12_ignorance_49_1","Call and ask for a possible spare key location.",""
"scenario 12_ignorance_52_1","call the neighbors to ask if they left a spare key somewhere",""
"scenario 12_ignorance_53_1","Start looking for the key.",""
"scenario 12_ignorance_55_1","Tony should call the owners and tell them he lost the spare key.",""
"scenario 12_ignorance_58_1","Call the neibors",""
"scenario 12_ignorance_67_1","call his neighbors and ask if they know where it is",""
"scenario 12_ignorance_69_1","look for a spare key",""
"scenario 12_ignorance_73_1","Call neighbors and ask",""
"scenario 12_ignorance_74_1","Go back and get the key",""
"scenario 12_ignorance_75_1","He could call the family and tell them.",""
"scenario 12_ignorance_76_1","CALL THE OWNERS AND ASK ABOUT A SPARE",""
"scenario 12_ignorance_80_1","Look for a spare key",""
"scenario 12_ignorance_83_1","Call the family and tell them about the situation.",""
"scenario 12_ignorance_86_1","break the window",""
"scenario 12_ignorance_88_1","Look for an unlocked door",""
"scenario 12_ignorance_90_1","go home and get key",""
"scenario 12_ignorance_97_1","go home and get the key",""
"scenario 12_ignorance_98_1","Call the neighbors to see if they left a spare key",""
"scenario 12_ignorance_103_1","Look for the key.",""
"scenario 12_ignorance_104_1","Break the window and get in the house",""
"scenario 12_ignorance_108_1","Phone the neighbors and ask about a spare key",""
"scenario 12_ignorance_109_1","Look for a spare key",""
"scenario 12_ignorance_119_1","call the people and ask about it",""
"scenario 12_ignorance_123_1","Check Pockets and Surroundings",""
"scenario 12_ignorance_125_1","Call the owners",""
"scenario 12_ignorance_128_1","Go back home to get the key",""
"scenario 12_ignorance_129_1","He could have looked around for a key outside",""
"scenario 12_ignorance_132_1","call for a locksmith",""
"scenario 12_ignorance_134_1","Call the neighbors and ask if there is a spare key",""
"scenario 12_ignorance_135_1","look around for key",""
"scenario 12_ignorance_145_1","call the family",""
"scenario 12_ignorance_147_1","Call them and ask where the spare key is.",""
"scenario 12_ignorance_148_1","Look under the doormat",""
"scenario 12_ignorance_151_1","think back to when he last had the key they gave him",""
"scenario 12_ignorance_154_1","Search",""
"scenario 12_ignorance_168_1","Try to call his neighbors and ask if they left a spare key.",""
"scenario 12_ignorance_174_1","Tony could check to see if any of the doors or windows are open so that he could get into the house",""
"scenario 12_ignorance_177_1","ask another neighbor",""
"scenario 12_ignorance_178_1","call the family to ask if there is a spare key",""
"scenario 12_ignorance_181_1","Call the family and ask if they have a key",""
"scenario 12_ignorance_188_1","Phone the family",""
"scenario 12_ignorance_196_1","attempt to call the neighbors and ask where a spare is",""
"scenario 12_ignorance_203_1","Look for his lost key",""
"scenario 12_ignorance_204_1","Contact the vacationing neighbors",""
"scenario 12_ignorance_222_1","call the owners",""
"scenario 12_ignorance_228_1","Look for Open Windows or Doors",""
"scenario 12_ignorance_232_1","Look around for a spare key.",""
"scenario 12_ignorance_234_1","He could look more for the housekey.",""
"scenario 12_ignorance_235_1","Look in your pocket or belongings for the key",""
"scenario 12_ignorance_240_1","Tony should call his neighbors and ask them slyly for a spare key.",""
"scenario 12_ignorance_241_1","break into the house",""
"scenario 12_ignorance_243_1","TOny can try to find the key",""
"scenario 12_ignorance_248_1","Call the owners to ask about the spare",""
"scenario 12_ignorance_249_1","Call the neighbors and ask if they left a spare key",""
"scenario 12_ignorance_258_1","He can search for a spare key even if he doesn't believe it's there.",""
"scenario 12_ignorance_265_1","Look for the missing key",""
"scenario 12_ignorance_270_1","Ask a neighbor for help",""
"scenario 12_ignorance_278_1","call the neighbors",""
"scenario 12_ignorance_280_1","Call his family ",""
"scenario 12_ignorance_285_1","remember if they did in fact leave him a spare key",""
"scenario 12_ignorance_290_1","Try to find another entrance",""
"scenario 12_ignorance_291_1","He could return home and get the key and clean up any ""dog-mess"" that might have happened.",""
"scenario 12_ignorance_297_1","Call or text them asking where the key was left because he doesn't think he has it",""
"scenario 12_ignorance_301_1","Call the neighbors immediately to ask them what he should do",""
"scenario 12_ignorance_302_1","Try to contact his neighbor",""
"scenario 12_ignorance_304_1","Call the neighbors to see where the spare is",""
"scenario 12_ignorance_312_1","See if he can call the neighbors to ask if they did leave a spare key",""
"scenario 12_ignorance_319_1","search for the key around the house",""
"scenario 12_ignorance_328_1","Call his neighbors and ask if they have a spare key",""
"scenario 12_ignorance_330_1","he could call the family to find out about a spare key",""
"scenario 12_ignorance_331_1","Call the neighbors",""
"scenario 12_ignorance_336_1","See if there are any unlocked doors or windows on the house.",""
"scenario 12_ignorance_340_1","Take another look for the key ",""
"scenario 12_ignorance_353_1","Search for the spare ",""
"scenario 12_ignorance_355_1","He could contact the neighbors to see if and where a spare key might be",""
"scenario 12_ignorance_359_1","Call the neighbors to ask about another key",""
"scenario 12_ignorance_368_1","he could go back to his house and get the key",""
"scenario 12_ignorance_375_1","Call the neighbors and ask if they left spare key and where",""
"scenario 12_ignorance_380_1","Call the family and ask where the key is",""
"scenario 12_ignorance_384_1","ask the family if there's a hidden key",""
"scenario 12_ignorance_388_1","Check his surroundings for a spare key",""
"scenario 12_ignorance_400_1","He could call the neighbors and ask if there is a spare key",""
"scenario 12_ignorance_415_1","He could look for the key",""
"scenario 13_knowledge_2_1","Approach people and give it to them",""
"scenario 13_knowledge_3_1","Put an advertisement in the local newspaper for the concert",""
"scenario 13_knowledge_5_1","Post it on Facebook",""
"scenario 13_knowledge_8_1","Create a Countdown Campaign",""
"scenario 13_knowledge_9_1","post on social media",""
"scenario 13_knowledge_11_1","Reach out on social media.",""
"scenario 13_knowledge_14_1","Bring them to work",""
"scenario 13_knowledge_20_1","Blanket local social media about it",""
"scenario 13_knowledge_21_1","I could sell the tickets as a fundraiser.",""
"scenario 13_knowledge_27_1","Utilize Social Media",""
"scenario 13_knowledge_31_1","Jamie could advertise the concert on social media.",""
"scenario 13_knowledge_42_1","advertise the tickets on social media",""
"scenario 13_knowledge_47_1","talk to friends",""
"scenario 13_knowledge_52_1","ask the teachers to help her sell more tickets",""
"scenario 13_knowledge_53_1","Advertise the concert tickets in public areas like outside of stores.",""
"scenario 13_knowledge_56_1","post on social media about the performance",""
"scenario 13_knowledge_61_1","Go door to door in his neighborhood to sell them",""
"scenario 13_knowledge_64_1","set up a facebook page",""
"scenario 13_knowledge_65_1","buy all the tickets himself",""
"scenario 13_knowledge_70_1","Use social media to promote the concert and ticket sales.",""
"scenario 13_knowledge_71_1","Go door to door to sell",""
"scenario 13_knowledge_76_1","HE CAN POST ON FACEBOOK THE EVENT",""
"scenario 13_knowledge_83_1","Let people know about the tickets on social media.",""
"scenario 13_knowledge_85_1","call each parent of a child in the school",""
"scenario 13_knowledge_91_1","put out flyers",""
"scenario 13_knowledge_96_1","Offer a group discount",""
"scenario 13_knowledge_100_1","Set up a booth or table",""
"scenario 13_knowledge_107_1","make posters about concert",""
"scenario 13_knowledge_110_1","Send an email to everyone within the mailing list of the school",""
"scenario 13_knowledge_113_1","Post on social media",""
"scenario 13_knowledge_114_1","ask friends, neighbors and coworkers if they would like to buy tickets",""
"scenario 13_knowledge_116_1","Ask people at work.",""
"scenario 13_knowledge_119_1","sell the ticket at his work",""
"scenario 13_knowledge_121_1","Post online to sell tickets",""
"scenario 13_knowledge_122_1","call friends",""
"scenario 13_knowledge_133_1","Tell friends and family about the tickets and fundraising goal",""
"scenario 13_knowledge_137_1","Ask friends and family or children from the school to distribute instead.",""
"scenario 13_knowledge_139_1","Give something else away with the tickets",""
"scenario 13_knowledge_140_1","He could just the tickets himself",""
"scenario 13_knowledge_153_1","Jamie could leverage social media platforms such as Facebook, Twitter, or Instagram to promote the concert and sell tickets. He could create posts, share event pages, and encourage friends, family, and community members to attend and purchase tickets online.",""
"scenario 13_knowledge_155_1","Make a post on a local forum",""
"scenario 13_knowledge_158_1","Sell to neighbors",""
"scenario 13_knowledge_162_1","Phone tree with other parents to sell to other parents",""
"scenario 13_knowledge_167_1","Offer something else when selling the ticket, like a $10 gift card to Target",""
"scenario 13_knowledge_169_1","Attempt to sell tickets at high profile locations",""
"scenario 13_knowledge_173_1","Try and reach out to other parent",""
"scenario 13_knowledge_174_1","He could ask family and friends to buy the tickets",""
"scenario 13_knowledge_177_1","buy the tickets herself",""
"scenario 13_knowledge_181_1","Tell friends and family that he is selling tickets.",""
"scenario 13_knowledge_186_1","Announce online that he's selling",""
"scenario 13_knowledge_188_1","Send out emails",""
"scenario 13_knowledge_194_1","Post to his social media ",""
"scenario 13_knowledge_196_1","put up ads online in that area",""
"scenario 13_knowledge_197_1","Set up a car wash ",""
"scenario 13_knowledge_200_1","Jamie could post the Concert on Facebook",""
"scenario 13_knowledge_209_1","He could go to local shopping markets to look for customers to buy tickets.",""
"scenario 13_knowledge_212_1","Give something with the ticket",""
"scenario 13_knowledge_215_1","Contact friends and family to try to sell to them",""
"scenario 13_knowledge_217_1","Jamie will raffle tickets ",""
"scenario 13_knowledge_220_1","Jamie will put up a stand to sell ticket",""
"scenario 13_knowledge_224_1","make a social media post",""
"scenario 13_knowledge_227_1","Ask coworkers to buy them",""
"scenario 13_knowledge_229_1","Sell tickets to his friends",""
"scenario 13_knowledge_248_1","Buy them himself",""
"scenario 13_knowledge_253_1","Take out an ad on a local Facebook page, library, town paper",""
"scenario 13_knowledge_256_1","He could get a posse of friends and family to help out, providing each with a number of tickets.   ",""
"scenario 13_knowledge_257_1","sell them on the street",""
"scenario 13_knowledge_260_1","He could take the tickets to work and try to sell to his colleagues",""
"scenario 13_knowledge_261_1","Jamie could sell tickets to close friends and family members",""
"scenario 13_knowledge_267_1","buy the tickets himself",""
"scenario 13_knowledge_270_1","Sell them on Facebook",""
"scenario 13_knowledge_281_1","Tell people about the concert.",""
"scenario 13_knowledge_283_1","He could go door to door to fundraise for the concert.",""
"scenario 13_knowledge_286_1","Post an ad on social media",""
"scenario 13_knowledge_287_1","Post about the concert on social media so more people would know about it",""
"scenario 13_knowledge_292_1","Ask his co-workers to purchase tickets",""
"scenario 13_knowledge_301_1","post on social media to ask if local people want to buy a ticket",""
"scenario 13_knowledge_306_1","post on local facebook pages",""
"scenario 13_knowledge_308_1","sell door to door",""
"scenario 13_knowledge_318_1","Jamie should publicly tell people about the show to spark their interest.",""
"scenario 13_knowledge_320_1","utilize social media ",""
"scenario 13_knowledge_326_1","sell cookies",""
"scenario 13_knowledge_327_1","Ask child for friends contacts",""
"scenario 13_knowledge_337_1","buy all the tickets himself",""
"scenario 13_knowledge_341_1","post on social media",""
"scenario 13_knowledge_345_1","raffle",""
"scenario 13_knowledge_367_1","Post about the ticket sales online",""
"scenario 13_knowledge_369_1","When selling the tickets Jamie could ensure people understood they are near the school's goal and explain how important it would be to support the school.",""
"scenario 13_knowledge_380_1","Post about the fundraiser online",""
"scenario 13_knowledge_391_1","set up a booth at the school pickup ",""
"scenario 13_knowledge_393_1","Try to sell tickets on social media",""
"scenario 13_knowledge_394_1","Utilize Social Media",""
"scenario 13_knowledge_395_1","sell tickets to other parents",""
"scenario 13_knowledge_396_1","Go door to door with the tickets.",""
"scenario 13_knowledge_398_1","ask friends",""
"scenario 13_knowledge_400_1","He could go door to door and try to sell the tickets.",""
"scenario 13_knowledge_412_1","post on fb",""
"scenario 13_ignorance_6_1","Jamie can ask someone to confirm the concert date",""
"scenario 13_ignorance_7_1","Call friends",""
"scenario 13_ignorance_15_1","give up selling them",""
"scenario 13_ignorance_19_1","Offer Incentives or Discounts",""
"scenario 13_ignorance_22_1","get the correct information",""
"scenario 13_ignorance_33_1","Buy 50 tickets himself",""
"scenario 13_ignorance_35_1","Text or call everyone he knows to sell them",""
"scenario 13_ignorance_37_1","check the date of concert",""
"scenario 13_ignorance_38_1","Stand on a street corner trying to sell tickets.",""
"scenario 13_ignorance_46_1","Ask someone when the concert is.",""
"scenario 13_ignorance_48_1","contact the school ",""
"scenario 13_ignorance_51_1","Sell tickets outside a grocery store.",""
"scenario 13_ignorance_60_1","give up becuase its hopless",""
"scenario 13_ignorance_73_1","Door to door",""
"scenario 13_ignorance_75_1","He could pressure friends and family.",""
"scenario 13_ignorance_77_1","reach out to family",""
"scenario 13_ignorance_84_1","Posts on social media",""
"scenario 13_ignorance_86_1","double check dates",""
"scenario 13_ignorance_87_1","Pay for the tickets himself",""
"scenario 13_ignorance_88_1","He could somehow find out the concert is in 2 weeks",""
"scenario 13_ignorance_90_1","contact the school to confirm",""
"scenario 13_ignorance_95_1","buy the rest of the tickets",""
"scenario 13_ignorance_98_1","Buy up the rest of the tickets",""
"scenario 13_ignorance_103_1","Post on social media.",""
"scenario 13_ignorance_106_1","check his instructions, and he'd see he still has 2 weeks",""
"scenario 13_ignorance_120_1","recheck the date",""
